ObjID,H_r,GS,u-r,g-r,i-r,z-r,y-r
STC001Zya,6.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zza,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZAa,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZBa,5.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZCa,8.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZDa,7.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZEa,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZFa,7.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZGa,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZHa,7.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZIa,6.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZJa,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZKa,7.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZLa,6.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZMa,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZNa,5.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZOa,8.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZPa,8.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZQa,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZRa,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZSa,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZTa,5.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZUa,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZVa,6.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZWa,8.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZXa,7.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZYa,6.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ZZa,7.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00200a,6.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00201a,6.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00202a,7.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00203a,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00204a,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00205a,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00206a,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00207a,7.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00208a,5.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00209a,6.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020aa,8.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ba,7.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ca,8.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020da,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ea,8.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020fa,8.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ga,7.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ha,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ia,8.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ja,6.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ka,7.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020la,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ma,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020oa,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020pa,8.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020qa,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ra,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020sa,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ta,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ua,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020va,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020wa,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020xa,7.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020ya,6.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020za,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Aa,8.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ba,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ca,6.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Da,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ea,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Fa,8.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ga,9.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ha,7.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ia,7.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ja,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ka,5.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020La,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ma,4.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Na,7.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Oa,8.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Pa,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Qa,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ra,4.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Sa,8.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ta,7.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ua,8.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Va,6.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Wa,8.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Xa,6.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Ya,8.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0020Za,8.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00210a,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00211a,5.09,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00212a,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00213a,7.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00214a,8.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00215a,7.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00216a,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00217a,7.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00218a,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00219a,6.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021aa,8.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ba,7.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ca,8.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ea,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021fa,9.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ga,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ha,6.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ia,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ja,8.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ka,7.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021la,8.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ma,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021na,4.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021oa,8.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021pa,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021qa,8.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ra,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021sa,7.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ta,8.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ua,5.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021va,7.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021wa,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021xa,8.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021ya,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021za,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Aa,7.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ba,7.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ca,8.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Da,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ea,7.89,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Fa,8.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ga,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ha,6.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ia,7.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ja,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ka,7.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021La,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ma,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Na,7.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Oa,5.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Pa,5.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Qa,7.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ra,9.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Sa,6.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ta,6.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ua,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Va,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Wa,6.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Xa,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Ya,6.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0021Za,8.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00220a,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00221a,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00222a,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00223a,5.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00224a,8.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00225a,6.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00226a,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00227a,7.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00228a,6.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00229a,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022aa,7.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ba,6.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ca,8.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022da,7.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ea,8.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022fa,7.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ga,7.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ha,6.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ia,7.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ja,3.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ka,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022la,7.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ma,8.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022na,7.89,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022oa,6.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022pa,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022qa,8.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ra,7.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022sa,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ta,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ua,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022va,7.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022wa,7.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022xa,7.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022ya,6.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022za,7.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Aa,7.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ba,6.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ca,8.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Da,8.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ea,8.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Fa,8.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ga,6.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ha,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ia,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ja,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ka,7.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022La,8.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ma,8.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Na,8.37,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Oa,8.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Pa,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Qa,7.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ra,6.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Sa,6.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ta,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ua,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Va,7.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Wa,5.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Xa,8.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Ya,7.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0022Za,7.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00230a,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00231a,7.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00232a,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00233a,8.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00234a,6.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00235a,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00236a,8.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00237a,7.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00238a,8.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00239a,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023aa,7.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ba,7.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023da,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ea,7.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023fa,7.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ga,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ha,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ia,7.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ja,8.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ka,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023la,7.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ma,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023na,9.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023oa,7.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023pa,8.72,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023qa,7.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ra,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023sa,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ta,7.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ua,6.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023va,8.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023wa,8.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023xa,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023ya,7.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023za,8.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Aa,7.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ba,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ca,6.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Da,7.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ea,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Fa,7.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ga,7.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ha,8.62,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ia,7.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ja,8.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ka,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023La,5.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ma,8.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Na,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Oa,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Pa,8.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Qa,5.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ra,8.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Sa,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ta,7.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ua,8.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Va,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Wa,7.38,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Xa,7.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Ya,8.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0023Za,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00240a,8.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00241a,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00242a,7.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00243a,7.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00244a,9.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00246a,9.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00247a,7.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00248a,5.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00249a,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024aa,8.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ba,8.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ca,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024da,6.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ea,8.62,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024fa,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ga,7.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ha,6.62,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ia,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ja,8.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ka,8.09,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024la,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ma,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024na,8.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024oa,6.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024pa,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024qa,9.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ra,6.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024sa,8.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ta,7.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ua,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024va,6.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024wa,9.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024xa,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024ya,7.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024za,8.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Aa,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ba,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ca,7.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Da,6.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ea,7.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Fa,7.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ga,8.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ha,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ia,8.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ja,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ka,7.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024La,8.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ma,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Na,6.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Oa,8.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Pa,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Qa,8.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ra,8.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Sa,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ta,6.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ua,7.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Va,8.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Wa,7.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Xa,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Ya,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0024Za,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00250a,7.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00251a,8.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00252a,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00253a,8.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00254a,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00255a,8.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00256a,5.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00257a,7.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00258a,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00259a,8.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025aa,8.7,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ba,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ca,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025da,7.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ea,7.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025fa,8.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ga,7.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ha,7.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ia,6.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ja,8.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ka,7.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025la,7.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ma,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025na,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025oa,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025pa,7.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025qa,8.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ra,8.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025sa,6.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ta,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ua,7.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025va,8.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
